litho_code,lithology_name,n_samples,rock_group,tier,lith_class,keep,note
PORP,Porphyry,862,Igneous,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous]
MSOM,Metasomatite,853,Metasomatic/Thermal/Hydrothermal,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal]"
AMPH,Amphibolite,631,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
BREC,Breccia (Undiff. Origin),612,Breccia (Undifferentiated),basement,EXCLUDED,N,breccia undiff: commonly mineralisation-related in SA [ROCK_GROUP: Breccia (Undifferentiated)]
PXNT,Pyroxenite,579,Igneous Ultramafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Intrusive]
FEXT,Felsic Extrusive,576,Igneous Felsic Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive]
BSLT,Basalt,573,Igneous Mafic Extrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Extrusive]
GOID,Granitoid Rock,559,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MDST,Mudstone,525,Sediment Siliciclastic Lutite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Lutite]
DIOR,Diorite,513,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
CAAR,Calcarenite,503,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
MDIO,Metadiorite,489,Meta-Igneous Intermediate,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Intermediate]
DOLR,Dolerite,485,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
PHYL,Phyllite,485,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
MARL,Marl,478,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
SILT,Silt,458,Sediment Siliciclastic Lutite,overburden,Transported cover,Y,unconsolidated name within siliciclastic group
RHYO,Rhyolite,390,Igneous Felsic Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive]
VOLC,Volcanics,383,Igneous Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Extrusive]
SOIL,Soil,377,Soil,overburden,Transported cover,Y,surface material [ROCK_GROUP: Soil]
CASI,Calcsilicate Rock,360,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
SILC,Silcrete,330,Duricrust Siliceous,interburden,In-situ regolith,Y,duricrust caps the in-situ profile [ROCK_GROUP: Duricrust Siliceous]
MARB,Marble,316,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
GPSM,Gypsum Rock,303,Sediment Chemical/Biogenic Evaporite,basement,Carbonate-chemical sediment,Y,evaporite: chemical sediment
